"","service_date","from_stop_id","to_stop_id","route_id","direction_id","start_time_sec","end_time_sec","travel_time_sec","from_stop_sequence","from_stop_name","from_stop_lon","from_stop_lat","stop_sequence","stop_name","stop_lon","stop_lat"
"37","2021-10-04",70126,70144,"Green-B",1,31842,32744,902,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"38","2021-10-04",70126,70144,"Green-B",1,33300,34171,871,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"39","2021-10-04",70126,70144,"Green-B",1,32204,33087,883,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"40","2021-10-04",70126,70144,"Green-B",1,31958,32847,889,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"41","2021-10-04",70126,70144,"Green-B",1,21873,22624,751,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"42","2021-10-04",70126,70144,"Green-B",1,21142,21738,596,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"43","2021-10-04",70126,70144,"Green-B",1,22482,23179,697,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"44","2021-10-04",70126,70144,"Green-B",1,22728,23305,577,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"45","2021-10-04",70126,70144,"Green-B",1,61864,62667,803,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"46","2021-10-04",70126,70144,"Green-B",1,60539,61333,794,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"47","2021-10-04",70126,70144,"Green-B",1,61273,62223,950,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"48","2021-10-04",70126,70144,"Green-B",1,60806,61683,877,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"49","2021-10-04",70126,70144,"Green-B",1,47115,47926,811,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"50","2021-10-04",70126,70144,"Green-B",1,46879,47800,921,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"51","2021-10-04",70126,70144,"Green-B",1,45889,46917,1028,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"52","2021-10-04",70126,70144,"Green-B",1,48861,49690,829,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"53","2021-10-04",70126,70144,"Green-B",1,47665,49041,1376,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"54","2021-10-04",70126,70144,"Green-B",1,49414,50328,914,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"55","2021-10-04",70126,70144,"Green-B",1,49089,50116,1027,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"56","2021-10-04",70126,70144,"Green-B",1,35563,36460,897,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"57","2021-10-04",70126,70144,"Green-B",1,36453,37247,794,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"58","2021-10-04",70126,70144,"Green-B",1,36661,37677,1016,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"59","2021-10-04",70126,70144,"Green-B",1,35682,36699,1017,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"60","2021-10-04",70126,70144,"Green-B",1,71895,72671,776,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"61","2021-10-04",70126,70144,"Green-B",1,72660,73423,763,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"62","2021-10-04",70126,70144,"Green-B",1,72970,73655,685,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"63","2021-10-04",70126,70144,"Green-B",1,58510,59357,847,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"64","2021-10-04",70126,70144,"Green-B",1,57312,58142,830,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"65","2021-10-04",70126,70144,"Green-B",1,57666,58832,1166,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"66","2021-10-04",70126,70144,"Green-B",1,69581,70344,763,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"67","2021-10-04",70126,70144,"Green-B",1,71124,71785,661,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"68","2021-10-04",70126,70144,"Green-B",1,70649,71418,769,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"69","2021-10-04",70126,70144,"Green-B",1,69988,70691,703,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"70","2021-10-04",70126,70144,"Green-B",1,75402,76179,777,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"71","2021-10-04",70126,70144,"Green-B",1,76033,76640,607,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
