"","service_date","from_stop_id","to_stop_id","route_id","direction_id","start_time_sec","end_time_sec","travel_time_sec","from_stop_sequence","from_stop_name","from_stop_lon","from_stop_lat","stop_sequence","stop_name","stop_lon","stop_lat"
"37","2021-10-01",70126,70144,"Green-B",1,43698,44631,933,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"38","2021-10-01",70126,70144,"Green-B",1,28604,29243,639,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"39","2021-10-01",70126,70144,"Green-B",1,28929,30005,1076,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"40","2021-10-01",70126,70144,"Green-B",1,29565,30214,649,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"41","2021-10-01",70126,70144,"Green-B",1,28117,28888,771,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"42","2021-10-01",70126,70144,"Green-B",1,63665,64495,830,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"43","2021-10-01",70126,70144,"Green-B",1,62707,63771,1064,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"44","2021-10-01",70126,70144,"Green-B",1,62230,63096,866,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"45","2021-10-01",70126,70144,"Green-B",1,63307,64082,775,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"46","2021-10-01",70126,70144,"Green-B",1,65107,66135,1028,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"47","2021-10-01",70126,70144,"Green-B",1,39300,40225,925,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"48","2021-10-01",70126,70144,"Green-B",1,40283,41172,889,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"49","2021-10-01",70126,70144,"Green-B",1,39630,40641,1011,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"50","2021-10-01",70126,70144,"Green-B",1,38646,39770,1124,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"51","2021-10-01",70126,70144,"Green-B",1,42282,43105,823,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"52","2021-10-01",70126,70144,"Green-B",1,41945,42752,807,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"53","2021-10-01",70126,70144,"Green-B",1,41385,42184,799,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"54","2021-10-01",70126,70144,"Green-B",1,40953,41748,795,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"55","2021-10-01",70126,70144,"Green-B",1,27278,28127,849,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"56","2021-10-01",70126,70144,"Green-B",1,26331,27138,807,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"57","2021-10-01",70126,70144,"Green-B",1,26927,27686,759,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"58","2021-10-01",70126,70144,"Green-B",1,27877,28678,801,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"59","2021-10-01",70126,70144,"Green-B",1,73180,73986,806,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"60","2021-10-01",70126,70144,"Green-B",1,58140,58880,740,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"61","2021-10-01",70126,70144,"Green-B",1,57068,58049,981,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"62","2021-10-01",70126,70144,"Green-B",1,19935,20705,770,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"63","2021-10-01",70126,70144,"Green-B",1,19430,20073,643,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"64","2021-10-01",70126,70144,"Green-B",1,20709,21346,637,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"65","2021-10-01",70126,70144,"Green-B",1,73071,73625,554,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"66","2021-10-01",70126,70144,"Green-B",1,45023,45714,691,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"67","2021-10-01",70126,70144,"Green-B",1,45791,46604,813,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"68","2021-10-01",70126,70144,"Green-B",1,45456,46267,811,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"69","2021-10-01",70126,70144,"Green-B",1,44060,45171,1111,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"70","2021-10-01",70126,70144,"Green-B",1,66909,67931,1022,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"71","2021-10-01",70126,70144,"Green-B",1,65861,66919,1058,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"72","2021-10-01",70126,70144,"Green-B",1,66435,67174,739,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"73","2021-10-01",70126,70144,"Green-B",1,68129,69150,1021,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"74","2021-10-01",70126,70144,"Green-B",1,68572,69468,896,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"75","2021-10-01",70126,70144,"Green-B",1,69209,70092,883,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"76","2021-10-01",70126,70144,"Green-B",1,60667,61335,668,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"77","2021-10-01",70126,70144,"Green-B",1,62104,62975,871,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"78","2021-10-01",70126,70144,"Green-B",1,60788,62098,1310,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"79","2021-10-01",70126,70144,"Green-B",1,50515,51699,1184,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"80","2021-10-01",70126,70144,"Green-B",1,50079,50817,738,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"81","2021-10-01",70126,70144,"Green-B",1,25476,26149,673,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"82","2021-10-01",70126,70144,"Green-B",1,25837,26474,637,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"83","2021-10-01",70126,70144,"Green-B",1,24762,25598,836,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"84","2021-10-01",70126,70144,"Green-B",1,51612,52465,853,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"85","2021-10-01",70126,70144,"Green-B",1,52159,53019,860,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"86","2021-10-01",70126,70144,"Green-B",1,52628,53374,746,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"87","2021-10-01",70126,70144,"Green-B",1,52987,54009,1022,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"88","2021-10-01",70126,70144,"Green-B",1,54081,54984,903,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"89","2021-10-01",70126,70144,"Green-B",1,53476,54456,980,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"90","2021-10-01",70126,70144,"Green-B",1,37867,38546,679,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"91","2021-10-01",70126,70144,"Green-B",1,36876,38024,1148,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"92","2021-11-05",70126,70144,"Green-B",1,57316,58037,721,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"93","2021-11-05",70126,70144,"Green-B",1,57914,58775,861,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"94","2021-11-05",70126,70144,"Green-B",1,56951,57732,781,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"95","2021-11-05",70126,70144,"Green-B",1,25365,26042,677,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"96","2021-11-05",70126,70144,"Green-B",1,25723,26480,757,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"97","2021-11-05",70126,70144,"Green-B",1,26076,26883,807,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"98","2021-11-05",70126,70144,"Green-B",1,24637,25262,625,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"99","2021-11-05",70126,70144,"Green-B",1,24754,25481,727,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"100","2021-11-05",70126,70144,"Green-B",1,52507,53300,793,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"101","2021-11-05",70126,70144,"Green-B",1,52013,52866,853,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"102","2021-11-05",70126,70144,"Green-B",1,51618,52424,806,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"103","2021-11-05",70126,70144,"Green-B",1,53712,54638,926,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"104","2021-11-05",70126,70144,"Green-B",1,53477,54300,823,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"105","2021-11-05",70126,70144,"Green-B",1,54789,55618,829,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"106","2021-11-05",70126,70144,"Green-B",1,50737,51766,1029,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"107","2021-11-05",70126,70144,"Green-B",1,51072,51986,914,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"108","2021-11-05",70126,70144,"Green-B",1,50083,50894,811,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"109","2021-11-05",70126,70144,"Green-B",1,55387,56162,775,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"110","2021-11-05",70126,70144,"Green-B",1,55631,56502,871,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"111","2021-11-05",70126,70144,"Green-B",1,56363,57492,1129,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"112","2021-11-05",70126,70144,"Green-B",1,46452,47251,799,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"113","2021-11-05",70126,70144,"Green-B",1,46884,47701,817,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"114","2021-11-05",70126,70144,"Green-B",1,47442,48249,807,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"115","2021-11-05",70126,70144,"Green-B",1,47670,48496,826,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"116","2021-11-05",70126,70144,"Green-B",1,48885,49786,901,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"117","2021-11-05",70126,70144,"Green-B",1,48108,49034,926,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"118","2021-11-05",70126,70144,"Green-B",1,49425,50308,883,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"119","2021-11-05",70126,70144,"Green-B",1,48492,49315,823,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"120","2021-11-05",70126,70144,"Green-B",1,31958,32710,752,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"121","2021-11-05",70126,70144,"Green-B",1,32451,33292,841,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"122","2021-11-05",70126,70144,"Green-B",1,31607,32426,819,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"123","2021-11-05",70126,70144,"Green-B",1,33153,33952,799,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"124","2021-11-05",70126,70144,"Green-B",1,32926,33725,799,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"125","2021-11-05",70126,70144,"Green-B",1,33404,34181,777,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"126","2021-11-05",70126,70144,"Green-B",1,30892,31415,523,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"127","2021-11-05",70126,70144,"Green-B",1,30060,30763,703,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"128","2021-11-05",70126,70144,"Green-B",1,31123,32095,972,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"129","2021-11-05",70126,70144,"Green-B",1,30159,31086,927,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"130","2021-11-05",70126,70144,"Green-B",1,18877,19526,649,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"131","2021-11-05",70126,70144,"Green-B",1,23446,24233,787,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"132","2021-11-05",70126,70144,"Green-B",1,22843,23498,655,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"133","2021-11-05",70126,70144,"Green-B",1,23920,24702,782,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"134","2021-11-05",70126,70144,"Green-B",1,58987,59684,697,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"135","2021-11-05",70126,70144,"Green-B",1,59951,60684,733,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"136","2021-11-05",70126,70144,"Green-B",1,58393,59447,1054,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"137","2021-11-05",70126,70144,"Green-B",1,63696,64537,841,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"138","2021-11-05",70126,70144,"Green-B",1,63188,63856,668,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"139","2021-11-05",70126,70144,"Green-B",1,62473,63315,842,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"140","2021-11-05",70126,70144,"Green-B",1,65115,66084,969,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"141","2021-11-05",70126,70144,"Green-B",1,64996,65634,638,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"142","2021-11-05",70126,70144,"Green-B",1,63912,64880,968,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"143","2021-11-05",70126,70144,"Green-B",1,33758,34509,751,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"144","2021-11-05",70126,70144,"Green-B",1,34843,35618,775,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"145","2021-11-05",70126,70144,"Green-B",1,34240,34967,727,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"146","2021-11-05",70126,70144,"Green-B",1,44031,44948,917,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"147","2021-11-05",70126,70144,"Green-B",1,42817,43707,890,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"148","2021-11-05",70126,70144,"Green-B",1,42490,43212,722,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
